unique_cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,fov,nas_location,h5_idx,background_p1,background_p3,background_p5,background_p10,background_otsu_thresh,background_mean_otsu,background_median_otsu,background_std_otsu,imageDates,NucGRCorrected,CytGRCorrected,CalcCytoArea,normGRcyt,normGRnuc
15000003,8848,4112.452725,2538.116986,120,1,A,0,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,625.7442255,647.471004,661.9679104,691.2903316,2129.130289,1040.276518,816.7084407,441.4628064,20230516,3324.96888994807,2052.09897397636,16027.17795108509,12,10
15000008,8868,3346.901459,2299.871894,120,1,A,0,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,625.7442255,647.471004,661.9679104,691.2903316,2129.130289,1040.276518,816.7084407,441.4628064,20230516,2706.01122324071,1859.47487053871,16069.693442190191,10,5
15000018,8451,4779.015462,2983.772154,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,3863.8931066936,2412.41668905589,15225.705661406446,17,13
15000020,8904,4094.822931,2643.209675,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,3310.7149834582,2137.06771279292,16146.738392309979,13,10
15000021,8954,5038.759104,3334.49559,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,4073.89905369493,2695.98092472152,16254.848136703331,20,15
15000024,7667,3562.473236,2434.858205,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,2880.30367108297,1968.61297245911,13880.426284360685,11,7
15000026,8443,4816.274625,2887.175944,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,3894.0176007911,2334.31745859315,15210.386085438042,16,14
15000027,9329,4103.736093,2647.894565,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,3317.92138517095,2140.85550429947,17106.547913386115,14,10
15000034,9340,4277.636191,2629.425969,120,1,A,1,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,645.2100228,667.5676607,682.4428239,710.7697677,2340.897465,1155.381894,835.0377367,544.3580834,20230516,3458.52176515682,2125.9234160185,17132.62012607682,13,11
15000038,9244,5406.075234,2944.514413,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,4370.87868767385,2380.67631992748,16907.1737020407,16,17
15000041,8383,4903.815587,2696.614409,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3964.7955512528,2180.2461007283,15096.53570903457,14,14
15000044,9042,4404.139392,2526.981452,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3560.80116772524,2043.09575701586,16448.2359947176,12,11
15000047,7759,3261.980533,2402.691786,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,2637.35160428896,1942.60602487139,14021.962080946312,11,5
15000048,8431,4352.540731,2719.727975,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3519.08301214742,2198.93370470209,15187.468276977175,14,11
15000049,8798,4336.46906,2733.505312,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3506.08886737351,2210.07285206125,15921.786907576858,14,11
15000050,7883,4402.189483,2415.734554,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3559.22464218275,1953.15126410908,14219.597312700618,11,11
15000051,9321,4909.272452,2939.106953,120,1,A,2,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,613.5137545,632.9959863,645.9433755,671.8233612,2208.613211,1045.669241,806.8433711,456.1367292,20230516,3969.20749409444,2376.30432163936,17087.62528930128,16,14
15000054,8723,4793.819552,2750.572792,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3875.86239655188,2223.87212072757,15766.104853710547,15,13
15000056,8978,4278.814257,2567.385845,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3459.47424608785,2075.76320846778,16307.196324651008,13,11
15000058,8295,3846.240543,2609.544052,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3109.73304835547,2109.84864022942,14932.89556832782,13,8
15000060,9483,4327.926744,2828.965212,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3499.18229923829,2287.25336183539,17477.207120385403,15,11
15000061,9502,6894.987105,3010.790854,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,5574.68234986656,2434.2616421664,17523.780855524037,17,25
15000062,7817,3933.119853,2537.125148,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3179.97604499202,2051.29706068655,14113.422556673646,12,9
15000066,8104,3970.957196,2727.015367,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,3210.5680047703,2204.82565126273,14591.389708608942,14,9
15000067,8238,3385.75513,2566.79751,120,1,A,3,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.2926564,631.459655,644.0776972,669.2916035,2092.879076,1020.53605,779.3337232,437.9463374,20230516,2737.42489677668,2075.2875323439,14829.021203525877,13,6
15000079,7705,4222.866012,2691.35135,120,1,A,4,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,636.1113225,661.4452968,678.5836233,713.3022875,2130.192416,1040.503032,834.4910074,424.409531,20230516,3414.23939805146,2175.9908524346,13938.36042262647,14,10
