Source,Type,Species,Time_min,N,Mean,Var,Fano,MeanStd,VarStd,FanoStd
T.V. + Sat.,Model,mRNA_{nuc},0,10000,18.5177,288.749561666167,15.5931655478902,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},10,10000,24.155,433.699944994498,17.9548724899399,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},20,10000,36.9248,690.309575917591,18.6950119138788,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},30,10000,46.7649,830.846112601259,17.7664468993039,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},40,10000,52.175,871.095084508446,16.6956412938849,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},50,10000,55.212,899.977653765378,16.3003994379008,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},60,10000,56.2658,895.853935753575,15.9218199288658,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},75,10000,56.7223,897.135696279629,15.8162785408848,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},90,10000,55.8404,860.585986438644,15.4115297605075,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},120,10000,53.4998,863.593159275928,16.1419885546475,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},150,10000,51.9223,812.060868796882,15.6399248260744,NaN,NaN,NaN
T.V. + Sat.,Model,mRNA_{nuc},180,10000,49.273,787.367407740774,15.9796928894278,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},0,10000,18.7745,216.952344984498,11.555692294575,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},10,10000,25.0493,451.278197329733,18.0156011277654,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},20,10000,40.0297,1010.42706061606,25.241934379125,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},30,10000,51.1586,1392.77072311231,27.2245668003486,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},40,10000,56.5507,1494.79170868087,26.4327711006383,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},50,10000,58.74,1550.60326032603,26.3977402166502,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},60,10000,58.8214,1491.44324636464,25.3554530555995,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},75,10000,57.919,1411.73401240124,24.3742815380314,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},90,10000,56.625,1395.90336533653,24.6517150611308,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},120,10000,52.9105,1215.89727947795,22.980264398899,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},150,10000,50.044,1094.02306630663,21.8612234494971,NaN,NaN,NaN
T.V. Only,Model,mRNA_{nuc},180,10000,47.0486,1013.37437547755,21.538884801621,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},0,10000,24.0687,323.08588889889,13.4234873050431,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},10,10000,32.854,583.94307830783,17.7738807544844,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},20,10000,45.7794,926.288164456463,20.2337331737957,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},30,10000,52.8609,1107.92594378438,20.9592712909613,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},40,10000,55.6021,1145.66354194419,20.6046811531254,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},50,10000,56.3392,1120.62500586058,19.8906801278787,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},60,10000,56.3001,1079.33097308731,19.1710311897725,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},75,10000,54.9936,1063.94715375538,19.3467449622388,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},90,10000,53.369,1005.45918491849,18.8397606273022,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},120,10000,50.6947,935.847876697673,18.4604677944178,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},150,10000,49.2076,893.62346458646,18.1602733030357,NaN,NaN,NaN
Sat. Only,Model,mRNA_{nuc},180,10000,47.1289,856.742159005899,18.1787005214613,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},0,10000,20.7114,429.056215661574,20.7159446325007,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},10,10000,29.4254,730.466881528153,24.8243653961595,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},20,10000,43.1172,1030.03726788679,23.8892429908897,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},30,10000,51.6708,1118.31465882588,21.6430684027707,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},40,10000,55.4288,1167.38546910691,21.0609912014496,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},50,10000,57.273,1210.2200930093,21.1307263982907,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},60,10000,57.1909,1201.35359254925,21.0060270523676,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},75,10000,56.4454,1153.9014089809,20.442789119767,NaN,NaN,NaN
First Order Decay,Model,mRNA_{nuc},90,10000,55.5229,1177.53542913291,21.2081038478342,NaN,NaN,NaN
